"team","eventname","score_change","score","event","ranking","region"
"Orlando Pirates","fall_reg1",301,301,1,1,"ssa"
"Orlando Pirates","fall_reg2",301,602,2,1,"ssa"
"Orlando Pirates","fall_reg3",301,903,3,1,"ssa"
"Orlando Pirates","fall_maj",0,903,4,1,"ssa"
"Orlando Pirates","win_reg1",300,1203,5,1,"ssa"
"Orlando Pirates","win_reg2",351,1554,6,1,"ssa"
"Orlando Pirates","win_reg3",351,1905,7,1,"ssa"
"Orlando Pirates","win_maj",0,1905,8,1,"ssa"
"Orlando Pirates","spr_reg1",401,2306,9,1,"ssa"
"Orlando Pirates","spr_reg2",350,2656,10,1,"ssa"
"Orlando Pirates","spr_reg3",350,3006,11,1,"ssa"
"Orlando Pirates","spr_maj",0,3006,12,1,"ssa"
"Bravado Gaming","fall_reg1",200,200,1,4,"ssa"
"Bravado Gaming","fall_reg2",250,450,2,3,"ssa"
"Bravado Gaming","fall_reg3",200,650,3,3,"ssa"
"Bravado Gaming","fall_maj",0,650,4,3,"ssa"
"Bravado Gaming","win_reg1",351,1001,5,2,"ssa"
"Bravado Gaming","win_reg2",260,1261,6,2,"ssa"
"Bravado Gaming","win_reg3",300,1561,7,2,"ssa"
"Bravado Gaming","win_maj",0,1561,8,2,"ssa"
"Bravado Gaming","spr_reg1",350,1911,9,2,"ssa"
"Bravado Gaming","spr_reg2",401,2312,10,2,"ssa"
"Bravado Gaming","spr_reg3",401,2713,11,2,"ssa"
"Bravado Gaming","spr_maj",0,2713,12,2,"ssa"
"ATK","fall_reg1",250,250,1,2,"ssa"
"ATK","fall_reg2",200,450,2,2,"ssa"
"ATK","fall_reg3",250,700,3,2,"ssa"
"ATK","fall_maj",0,700,4,2,"ssa"
"ATK","win_reg1",190,890,5,3,"ssa"
"ATK","win_reg2",300,1190,6,3,"ssa"
"ATK","win_reg3",260,1450,7,3,"ssa"
"ATK","win_maj",0,1450,8,3,"ssa"
"ATK","spr_reg1",130,1580,9,3,"ssa"
"ATK","spr_reg2",210,1790,10,3,"ssa"
"ATK","spr_reg3",250,2040,11,3,"ssa"
"ATK","spr_maj",0,2040,12,3,"ssa"
"AIPX Gaming","fall_reg1",200,200,1,3,"ssa"
"AIPX Gaming","fall_reg2",150,350,2,4,"ssa"
"AIPX Gaming","fall_reg3",200,550,3,4,"ssa"
"AIPX Gaming","fall_maj",0,550,4,4,"ssa"
"AIPX Gaming","win_reg1",160,710,5,5,"ssa"
"AIPX Gaming","win_reg2",160,870,6,5,"ssa"
"AIPX Gaming","win_reg3",190,1060,7,4,"ssa"
"AIPX Gaming","win_maj",0,1060,8,4,"ssa"
