team,fall_reg1,deductions,fall_reg2,deductions,fall_reg3,deductions,win_reg1,deductions,win_reg2,deductions,win_reg3,deductions,spr_reg1,spr_reg2,deductions,spr_reg3
Orlando Pirates,301,,301,,301,,300,,351,,351,,401,350,,350
Bravado Gaming,200,,250,,200,,351,,260,,300,,350,401,,401
ATK,250,,200,,250,,190,,300,,260,,130,210,,250
AIPX Gaming,200,,150,,200,,160,,160,,190,,300,250,,180
DNMK Esports,150,,200,,150,,220,,190,,110,,250,300,,210
Digital Devils,0,,0,,150,,260,,220,,220,,210,210,,300
ICE Esports,0,,0,,0,,190,,190,,160,,180,180,,180
NIBBLE Esports,150,,70,,150,,160,"-530
x



-530


Point Deductions (Winter Regional 1)
 Out of Retirement lose 530 points after Winter Regional 1 due to a Team disband.




x",110,,190,,180,180,,210
Team Espionage,0,,0,,0,,110,,160,,110,,210,130,,130
Evolved Gaming,110,,70,,40,,110,,110,,60,,130,80,,130
Unity,0,,0,,0,,60,,60,,0,,130,80,,130
Millennial Times Gaming,0,,0,,0,,0,,0,,0,,80,130,,130
Synergy Gaming,0,,0,,0,,60,,110,,60,,0,0,,0
SunMoon Esport,0,,0,,0,,0,,0,,0,,80,0,,80
Sweaty's Children,0,,0,,0,,0,,0,,0,,0,130,,0
Aureon Aces,0,,0,,0,,0,,0,,0,,80,130,"-210
x



-210


Point Deductions (Spring Regional 2)
 Aureon Aces lose 210 points after Spring Regional 2 due to a Roster change.




x",80
High Born Killers,0,,0,,0,,0,,0,,0,,80,0,,0
Kitsune,0,,0,,0,,0,,0,,0,,0,0,,80
Llama and Noble and Nashlo,0,,0,,0,,0,,0,,0,,0,80,,0
PerrysAgents,0,,0,,0,,0,,0,,160,"-160
x



-160


Point Deductions (Winter Regional 3)
 Yankees With No Brim lose 160 points after Winter Regional 3 due to a Team disband.




x",130,80,"-210
x



-210


Point Deductions (Spring Regional 2)
 PerrysAgents lose 210 points after Spring Regional 2 due to a Roster change.




x",80
OFA,0,,0,,0,,60,,0,,0,,0,0,,0
Team TKO,0,,0,,0,,0,,60,,0,,0,0,,0
Anarchy Gaming,150,,150,,110,,110,,60,,60,"-640
x



-640


Point Deductions (Winter Regional 3)
 Anarchy Gaming lose 640 points after Winter Regional 3 due to a Team disband.




x",-640,0,,0
Aufbau,110,,150,,70,"-330
x



-330


Point Deductions (Fall Regional 3)
 Aufbau lose 330 points after Fall Regional 3 due to a Team disband.




x",-330,,0,,0,,0,0,,0
Ballchasers,0,,0,,110,"-110
x



-110


Point Deductions (Fall Regional 3)
 Ballchasers lose 110 points after Fall Regional 3 due to a Team disband.




x",0,,0,,0,,0,0,,0
Barney and his Dinosaurs,0,,0,,0,,60,,60,"-120
x



-120


Point Deductions (Winter Regional 2)
 Barney and his Dinosaurs lose 120 points after Winter Regional 2 due to a Player addition outside of the transfer window.




x",110,"-110
x



-110


Point Deductions (Winter Regional 3)
 Barney and his Dinosaurs lose 110 points after Winter Regional 3 due to a Team disband.




x",-110,0,,0
Benchwarmers,70,,0,,0,"-70
x



-70


Point Deductions (Fall Regional 3)
 Benchwarmers lose 70 points after Fall Regional 3 due to a Team disband.




x",-70,,0,,0,,0,0,,0
DWYM,0,,40,"-40
x



-40


Point Deductions (Fall Regional 2)
 Dala What You Must lose 40 points after Fall Regional 2 due to a Team disband.




x",-40,,0,,0,,0,,0,0,,0
Dapper Dogs,110,,70,,40,"-220
x



-220


Point Deductions (Fall Regional 3)
 Dapper Dogs lose 220 points after Fall Regional 3 due to a Team disband.




x",-220,,0,,0,,0,0,,0
Exotic Esports,150,,110,,110,"-370
x



-370


Point Deductions (Fall Regional 3)
 Exotic Esports lose 370 points after Fall Regional 3 due to a Team disband.




x",-370,,0,,0,,0,0,,0
EXP,40,"-40
x



-40


Point Deductions (Fall Regional 1)
 Expanzees lose 40 points after Fall Regional 1 due to a Team disband.




x",-40,,0,,0,,0,,0,,0,0,,0
Freestyle Noobs,0,,110,,70,"-180
x



-180


Point Deductions (Fall Regional 3)
 Freestyle Noobs lose 180 points after Fall Regional 3 due to a Team disband.




x",-180,,0,,0,,0,0,,0
INFO,70,,110,"-180
x



-180


Point Deductions (Fall Regional 2)
 Inferno lose 180 points after Fall Regional 2 due to a Team disband.




x",-180,,0,,0,,0,,0,0,,0
Lost Legion Ghosts,40,,0,,70,"-110
x



-110


Point Deductions (Fall Regional 3)
 Lost Legion Ghosts lose 110 points after Fall Regional 3 due to a Team disband.




x",-110,,0,,0,,0,0,,0
Lost Legion Giants,70,,150,,150,,110,,110,,60,"-650
x



-650


Point Deductions (Winter Regional 3)
 Lost Legion Giants lose 650 points after Winter Regional 3 due to a Team disband.




x",0,0,,0
MILS Esports,0,,40,,0,,0,,0,"-40
x



-40


Point Deductions (Winter Regional 2)
 MILS Esports lose 40 points after Winter Regional 2 due to a Team disband.




x",-40,,0,0,,0
Suzaku,0,,0,,0,,0,,0,,110,"-110
x



-110


Point Deductions (Winter Regional 3)
 Suzaku lose 110 points after Winter Regional 3 due to a Team disband.




x",0,0,,0
