"team","eventname","score_change","score","event","ranking","region"
"James Cheese","fall_open",16,16,1,1,"apac"
"James Cheese","fall_cup",16,32,2,1,"apac"
"DeToNator","fall_open",12,12,1,2,"apac"
"DeToNator","fall_cup",9,21,2,2,"apac"
"Gaimin Gladiators","fall_open",9,9,1,3,"apac"
"Gaimin Gladiators","fall_cup",12,21,2,3,"apac"
"God Speed","fall_open",9,9,1,4,"apac"
"God Speed","fall_cup",6,15,2,4,"apac"
"Tough Love","fall_open",6,6,1,8,"apac"
"Tough Love","fall_cup",9,15,2,5,"apac"
"1620 Kings","fall_open",6,6,1,5,"apac"
"1620 Kings","fall_cup",6,12,2,6,"apac"
"Brokoli","fall_open",6,6,1,6,"apac"
"Brokoli","fall_cup",6,12,2,7,"apac"
"Nimmt55","fall_open",6,6,1,7,"apac"
"Nimmt55","fall_cup",6,12,2,8,"apac"
"C.E.R.T.","fall_open",4,4,1,9,"apac"
"C.E.R.T.","fall_cup",3,7,2,9,"apac"
"Cobweb City","fall_open",4,4,1,10,"apac"
"Cobweb City","fall_cup",3,7,2,10,"apac"
"GracesBlaze Refine","fall_open",4,4,1,11,"apac"
"GracesBlaze Refine","fall_cup",3,7,2,11,"apac"
"Asia Manji","fall_open",2,2,1,15,"apac"
"Asia Manji","fall_cup",4,6,2,12,"apac"
"Dark Rift Esports","fall_open",3,3,1,13,"apac"
"Dark Rift Esports","fall_cup",2,5,2,13,"apac"
"Sagetta","fall_open",0,0,1,18,"apac"
"Sagetta","fall_cup",4,4,2,14,"apac"
"Vainshoes","fall_open",0,0,1,19,"apac"
"Vainshoes","fall_cup",4,4,2,15,"apac"
"Team GanDerS","fall_open",2,2,1,16,"apac"
"Team GanDerS","fall_cup",0,2,2,19,"apac"
"Bluabslem","fall_open",0,0,1,17,"apac"
"Bluabslem","fall_cup",2,2,2,18,"apac"
"Blueabstik","fall_open",3,3,1,12,"apac"
"Blueabstik","fall_cup",0,3,2,16,"apac"
"Xayfhers","fall_open",3,3,1,14,"apac"
"Xayfhers","fall_cup",0,3,2,17,"apac"
