"team","eventname","score_change","score","event","ranking","region"
"Gen.G Mobil1 Racing","fall_open",12,12,1,2,"na"
"Gen.G Mobil1 Racing","fall_cup",12,24,2,1,"na"
"FaZe Clan","fall_open",16,16,1,1,"na"
"FaZe Clan","fall_cup",6,22,2,2,"na"
"Version1","fall_open",6,6,1,8,"na"
"Version1","fall_cup",16,22,2,3,"na"
"Spacestation Gaming","fall_open",9,9,1,4,"na"
"Spacestation Gaming","fall_cup",9,18,2,4,"na"
"G2 Esports","fall_open",9,9,1,3,"na"
"G2 Esports","fall_cup",4,13,2,5,"na"
"NRG","fall_open",4,4,1,11,"na"
"NRG","fall_cup",9,13,2,6,"na"
"FURIA Esports","fall_open",6,6,1,5,"na"
"FURIA Esports","fall_cup",6,12,2,7,"na"
"OpTic Gaming","fall_open",6,6,1,6,"na"
"OpTic Gaming","fall_cup",6,12,2,8,"na"
"Complexity Gaming","fall_open",4,4,1,9,"na"
"Complexity Gaming","fall_cup",6,10,2,9,"na"
"Shopify Rebellion","fall_open",6,6,1,7,"na"
"Shopify Rebellion","fall_cup",4,10,2,10,"na"
"Dignitas","fall_open",3,3,1,12,"na"
"Dignitas","fall_cup",4,7,2,11,"na"
"Team AXLE","fall_open",3,3,1,14,"na"
"Team AXLE","fall_cup",3,6,2,12,"na"
"Knights","fall_open",4,4,1,10,"na"
"Knights","fall_cup",0,4,2,13,"na"
"Rogue","fall_open",2,2,1,16,"na"
"Rogue","fall_cup",2,4,2,14,"na"
"26 RISING","fall_open",0,0,1,17,"na"
"26 RISING","fall_cup",3,3,2,15,"na"
"Flashes of Brilliance","fall_open",0,0,1,18,"na"
"Flashes of Brilliance","fall_cup",3,3,2,16,"na"
"Sol","fall_open",3,3,1,13,"na"
"Sol","fall_cup",0,3,2,17,"na"
"Ghost Gaming","fall_open",0,0,1,19,"na"
"Ghost Gaming","fall_cup",2,2,2,18,"na"
"Luminosity Gaming","fall_open",2,2,1,15,"na"
"Luminosity Gaming","fall_cup",0,2,2,19,"na"
