team,fall_reg1,fall_reg2,fall_reg3,fall_maj,win_reg1,win_reg2,win_reg3,win_maj,spr_reg1,spr_reg2,spr_reg3,spr_maj
Renegades,301,301,150,220,260,351,300,120,350,300,300,0
Pioneers,150,150,250,0,300,300,260,220,250,401,401,260
PWR,250,250,301,220,160,260,351,0,401,350,210,160
Kaka's Minions,200,200,200,0,190,190,190,0,300,210,350,0
Dire Wolves,200,200,150,0,351,220,190,0,210,130,130,0
Team Bliss,110,150,110,0,220,160,220,0,130,130,80,0
Three One Two's,150,150,200,0,160,190,110,0,210,210,250,0
Rancid Rats Reborn,150,110,0,0,110,60,60,0,80,80,80,0
The Lunatics,0,0,0,0,0,0,110,0,180,180,210,0
Senegy Gaming OCE,0,0,40,0,60,110,110,0,130,130,80,0
Physicists,70,40,150,0,0,60,60,0,130,250,180,0
The Kibbles,0,0,0,0,0,0,160,-160,180,80,180,0
Dumb Luck Esports,0,0,0,0,0,0,0,0,80,130,130,0
Schmucks,70,70,0,0,0,160,0,0,0,80,0,0
Tici,0,0,70,0,60,0,0,0,80,180,0,0
Ground Zero Gaming,0,0,0,0,0,0,0,0,80,0,80,0
Disappointment,0,0,0,0,0,0,0,0,0,0,130,0
Mythikill Beasts,0,0,0,0,0,0,0,0,0,0,130,0
Retirees,0,0,0,0,110,0,0,0,0,0,0,0
1620 Kings,40,0,110,0,60,110,110,0,-430,0,0,0
Big GOOSE,70,0,0,0,110,110,160,0,-450,0,0,0
Bros On Their Toes,0,150,0,0,-150,0,0,0,0,0,0,0
Business as Usual,0,0,0,0,0,0,0,0,0,80,-80,0
Corn Titans,40,0,-40,0,0,0,0,0,0,0,0,0
Ex-Collateral eSports,0,40,0,0,-40,0,0,0,0,0,0,0
Ex-Eclipse,0,0,0,0,110,60,0,-170,0,0,0,0
Fire Breathing Ducks,110,110,70,0,-290,0,0,0,0,0,0,0
GUECAW,0,0,40,-40,0,0,0,0,0,0,0,0
Just Go For It,0,0,0,0,0,0,60,0,0,-60,0,0
Rent Free,0,0,0,0,0,0,0,0,130,0,-130,0
The CEOs,0,0,0,0,0,60,60,0,-60,0,0,0
The Grogans,110,70,150,0,-220,0,0,0,0,0,0,0
The Sussmen,0,0,0,0,60,0,0,-60,0,0,0,0
Wazooo,0,110,70,0,0,0,0,0,-180,0,0,0
Wildcard Gaming,150,70,110,0,190,110,-630,0,0,0,0,0
