"team","eventname","score_change","score","event","ranking","region"
"Pioneers","fall_open",16,16,1,1,"oce"
"The Lakeshow","fall_open",12,12,1,2,"oce"
"Ground Zero Gaming","fall_open",9,9,1,3,"oce"
"Placeholders","fall_open",9,9,1,4,"oce"
"Bandits ESC","fall_open",6,6,1,5,"oce"
"gremlins","fall_open",6,6,1,6,"oce"
"PWR","fall_open",6,6,1,7,"oce"
"Zawoo","fall_open",6,6,1,8,"oce"
"Dire Wolves","fall_open",4,4,1,9,"oce"
"Kraken ESC","fall_open",4,4,1,10,"oce"
"Tre Cani","fall_open",4,4,1,11,"oce"
"Lerkers","fall_open",3,3,1,14,"oce"
"Cowabunga","fall_open",3,3,1,12,"oce"
"Dubbo Demons","fall_open",3,3,1,13,"oce"
"Flying Kangaroos","fall_open",2,2,1,15,"oce"
"Sum's Parents","fall_open",2,2,1,16,"oce"
