team,fall_reg1,fall_reg2,fall_reg3,fall_maj,win_reg1,win_reg2,win_reg3,win_maj,spr_reg1,spr_reg2,spr_reg3,spr_maj
Orlando Pirates,301,301,301,0,300,351,351,0,401,350,350,0
Bravado Gaming,200,250,200,0,351,260,300,0,350,401,401,0
ATK,250,200,250,0,190,300,260,0,130,210,250,0
AIPX Gaming,200,150,200,0,160,160,190,0,300,250,180,0
DNMK Esports,150,200,150,0,220,190,110,0,250,300,210,0
Digital Devils,0,0,150,0,260,220,220,0,210,210,300,0
ICE Esports,0,0,0,0,190,190,160,0,180,180,180,0
NIBBLE Esports,150,70,150,0,160,110,190,0,180,180,210,0
Team Espionage,0,0,0,0,110,160,110,0,210,130,130,0
Evolved Gaming,110,70,40,0,110,110,60,0,130,80,130,0
Unity,0,0,0,0,60,60,0,0,130,80,130,0
Millennial Times Gaming,0,0,0,0,0,0,0,0,80,130,130,0
Synergy Gaming,0,0,0,0,60,110,60,0,0,0,0,0
SunMoon Esport,0,0,0,0,0,0,0,0,80,0,80,0
Sweaty's Children,0,0,0,0,0,0,0,0,0,130,0,0
Aureon Aces,0,0,0,0,0,0,0,0,80,130,80,0
High Born Killers,0,0,0,0,0,0,0,0,80,0,0,0
Kitsune,0,0,0,0,0,0,0,0,0,0,80,0
Llama and Noble and Nashlo,0,0,0,0,0,0,0,0,0,80,0,0
PerrysAgents,0,0,0,0,0,0,160,0,130,80,80,0
OFA,0,0,0,0,60,0,0,0,0,0,0,0
Team TKO,0,0,0,0,0,60,0,0,0,0,0,0
Anarchy Gaming,150,150,110,0,110,60,60,0,-640,0,0,0
Aufbau,110,150,70,0,-330,0,0,0,0,0,0,0
Ballchasers,0,0,110,0,0,0,0,0,0,0,0,0
Barney and his Dinosaurs,0,0,0,0,60,60,110,0,-110,0,0,0
Benchwarmers,70,0,0,0,-70,0,0,0,0,0,0,0
DWYM,0,40,-40,0,0,0,0,0,0,0,0,0
Dapper Dogs,110,70,40,0,-220,0,0,0,0,0,0,0
Exotic Esports,150,110,110,0,-370,0,0,0,0,0,0,0
EXP,40,-40,0,0,0,0,0,0,0,0,0,0
Freestyle Noobs,0,110,70,0,-180,0,0,0,0,0,0,0
INFO,70,110,-180,0,0,0,0,0,0,0,0,0
Lost Legion Ghosts,40,0,70,0,-110,0,0,0,0,0,0,0
Lost Legion Giants,70,150,150,0,110,110,60,0,0,0,0,0
MILS Esports,0,40,0,0,0,0,-40,0,0,0,0,0
Suzaku,0,0,0,0,0,0,110,0,0,0,0,0
