team,fall_open,deductions,fall_cup,fall_invitational,win_open,win_cup,win_invitational,spr_open,spr_cup,spr_invitational
May contain nuts,16,,2,2,,,,,,
Orlando Pirates Exdee,12,,2,2,,,,,,
Millennial Times Gaming,9,,2,2,,,,,,
Reformed,9,,2,2,,,,,,
ATK,6,,2,2,,,,,,
Aureon E-Sports,6,,2,2,,,,,,
Team Espionage,6,,2,2,,,,,,
White Rabbit Gaming,6,,2,2,,,,,,
AIPX Gaming,4,,2,2,,,,,,
The Bros,4,,2,2,,,,,,
Astronic Esports,3,,2,2,,,,,,
Fish,4,,,,,,,,,
LUPO ROSSO,2,,2,,,,,,,
Team TKO,2,,2,,,,,,,
ICE Esports,3,,,,,,,,,
LMR LEGENDS,-,,2,,,,,,,
SunMoon,-,,2,,,,,,,
Unity,3,"-3
x



-3


Point Deductions (Fall Open)
 Unity lose 3 points due to a Mid-Split Roster Change.




x",2,,,,,,,
