"team","eventname","score_change","score","event","ranking","region","season"
"Gen.G Mobil1 Racing","fall_open",12,12,1,2,"na","2022-2023"
"Gen.G Mobil1 Racing","fall_cup",12,24,2,1,"na","2022-2023"
"FaZe Clan","fall_open",16,16,1,1,"na","2022-2023"
"FaZe Clan","fall_cup",6,22,2,2,"na","2022-2023"
"Version1","fall_open",6,6,1,8,"na","2022-2023"
"Version1","fall_cup",16,22,2,3,"na","2022-2023"
"Spacestation Gaming","fall_open",9,9,1,4,"na","2022-2023"
"Spacestation Gaming","fall_cup",9,18,2,4,"na","2022-2023"
"G2 Esports","fall_open",9,9,1,3,"na","2022-2023"
"G2 Esports","fall_cup",4,13,2,5,"na","2022-2023"
"NRG","fall_open",4,4,1,11,"na","2022-2023"
"NRG","fall_cup",9,13,2,6,"na","2022-2023"
"FURIA Esports","fall_open",6,6,1,5,"na","2022-2023"
"FURIA Esports","fall_cup",6,12,2,7,"na","2022-2023"
"OpTic Gaming","fall_open",6,6,1,6,"na","2022-2023"
"OpTic Gaming","fall_cup",6,12,2,8,"na","2022-2023"
"Complexity Gaming","fall_open",4,4,1,9,"na","2022-2023"
"Complexity Gaming","fall_cup",6,10,2,9,"na","2022-2023"
"Shopify Rebellion","fall_open",6,6,1,7,"na","2022-2023"
"Shopify Rebellion","fall_cup",4,10,2,10,"na","2022-2023"
"Dignitas","fall_open",3,3,1,12,"na","2022-2023"
"Dignitas","fall_cup",4,7,2,11,"na","2022-2023"
"Team AXLE","fall_open",3,3,1,14,"na","2022-2023"
"Team AXLE","fall_cup",3,6,2,12,"na","2022-2023"
"Knights","fall_open",4,4,1,10,"na","2022-2023"
"Knights","fall_cup",0,4,2,13,"na","2022-2023"
"Rogue","fall_open",2,2,1,16,"na","2022-2023"
"Rogue","fall_cup",2,4,2,14,"na","2022-2023"
"26 RISING","fall_open",0,0,1,17,"na","2022-2023"
"26 RISING","fall_cup",3,3,2,15,"na","2022-2023"
"Flashes of Brilliance","fall_open",0,0,1,18,"na","2022-2023"
"Flashes of Brilliance","fall_cup",3,3,2,16,"na","2022-2023"
"Sol","fall_open",3,3,1,13,"na","2022-2023"
"Sol","fall_cup",0,3,2,17,"na","2022-2023"
"Ghost Gaming","fall_open",0,0,1,19,"na","2022-2023"
"Ghost Gaming","fall_cup",2,2,2,18,"na","2022-2023"
"Luminosity Gaming","fall_open",2,2,1,15,"na","2022-2023"
"Luminosity Gaming","fall_cup",0,2,2,19,"na","2022-2023"
"Oxygen Esports","fall_open",16,16,1,1,"eu","2022-2023"
"Karmine Corp","fall_open",12,12,1,2,"eu","2022-2023"
"Moist Esports","fall_open",9,9,1,3,"eu","2022-2023"
"Quadrant","fall_open",9,9,1,4,"eu","2022-2023"
"G1","fall_open",6,6,1,5,"eu","2022-2023"
"Team BDS","fall_open",6,6,1,6,"eu","2022-2023"
"Team Liquid","fall_open",6,6,1,7,"eu","2022-2023"
"Tundra Esports","fall_open",6,6,1,8,"eu","2022-2023"
"Aogiri","fall_open",4,4,1,9,"eu","2022-2023"
"Monkeys","fall_open",4,4,1,10,"eu","2022-2023"
"Evil Geniuses","fall_open",3,3,1,12,"eu","2022-2023"
"Solary","fall_open",3,3,1,13,"eu","2022-2023"
"Soniqs","fall_open",4,4,1,11,"eu","2022-2023"
"Williams Resolve","fall_open",3,3,1,14,"eu","2022-2023"
"Endpoint CeX","fall_open",2,2,1,15,"eu","2022-2023"
"Guild Esports","fall_open",2,2,1,16,"eu","2022-2023"
"Pioneers","fall_open",16,16,1,1,"oce","2022-2023"
"The Lakeshow","fall_open",12,12,1,2,"oce","2022-2023"
"Ground Zero Gaming","fall_open",9,9,1,3,"oce","2022-2023"
"Placeholders","fall_open",9,9,1,4,"oce","2022-2023"
"Bandits ESC","fall_open",6,6,1,5,"oce","2022-2023"
"gremlins","fall_open",6,6,1,6,"oce","2022-2023"
"PWR","fall_open",6,6,1,7,"oce","2022-2023"
"Zawoo","fall_open",6,6,1,8,"oce","2022-2023"
"Dire Wolves","fall_open",4,4,1,9,"oce","2022-2023"
"Kraken ESC","fall_open",4,4,1,10,"oce","2022-2023"
"Tre Cani","fall_open",4,4,1,11,"oce","2022-2023"
"Lerkers","fall_open",3,3,1,14,"oce","2022-2023"
"Cowabunga","fall_open",3,3,1,12,"oce","2022-2023"
"Dubbo Demons","fall_open",3,3,1,13,"oce","2022-2023"
"Flying Kangaroos","fall_open",2,2,1,15,"oce","2022-2023"
"Sum's Parents","fall_open",2,2,1,16,"oce","2022-2023"
"The Club","fall_open",16,16,1,1,"sam","2022-2023"
"EndGame","fall_open",12,12,1,2,"sam","2022-2023"
"KRÜ Esports","fall_open",9,9,1,3,"sam","2022-2023"
