"team","eventname","score_change","score","event","ranking","region"
"Team Falcons","fall_open",12,12,1,2,"mena"
"Team Falcons","fall_cup",16,28,2,1,"mena"
"KRN","fall_open",16,16,1,1,"mena"
"KRN","fall_cup",9,25,2,2,"mena"
"Geekay Esports","fall_open",9,9,1,3,"mena"
"Geekay Esports","fall_cup",9,18,2,3,"mena"
"Twisted Minds","fall_open",6,6,1,8,"mena"
"Twisted Minds","fall_cup",12,18,2,4,"mena"
"Veloce Esports","fall_open",9,9,1,4,"mena"
"Veloce Esports","fall_cup",6,15,2,5,"mena"
"Ketchup","fall_open",6,6,1,6,"mena"
"Ketchup","fall_cup",6,12,2,6,"mena"
"NOBLES","fall_open",6,6,1,7,"mena"
"NOBLES","fall_cup",6,12,2,7,"mena"
"ANKAA Esports","fall_open",6,6,1,5,"mena"
"ANKAA Esports","fall_cup",4,10,2,8,"mena"
"Arrows","fall_open",2,2,1,15,"mena"
"Arrows","fall_cup",6,8,2,9,"mena"
"Infinity","fall_open",4,4,1,9,"mena"
"Infinity","fall_cup",4,8,2,10,"mena"
"Outsiders","fall_open",4,4,1,11,"mena"
"Outsiders","fall_cup",3,7,2,11,"mena"
"T2K","fall_open",2,2,1,16,"mena"
"T2K","fall_cup",4,6,2,12,"mena"
"Vision Esports","fall_open",3,3,1,14,"mena"
"Vision Esports","fall_cup",3,6,2,13,"mena"
"Nightmare","fall_open",4,4,1,10,"mena"
"Nightmare","fall_cup",0,4,2,14,"mena"
"Atlantic","fall_open",3,3,1,12,"mena"
"Atlantic","fall_cup",0,3,2,15,"mena"
"Missing","fall_open",3,3,1,13,"mena"
"Missing","fall_cup",0,3,2,16,"mena"
"ULLA","fall_open",0,0,1,19,"mena"
"ULLA","fall_cup",3,3,2,17,"mena"
"MonsterS","fall_open",0,0,1,17,"mena"
"MonsterS","fall_cup",2,2,2,18,"mena"
"NextStart Gaming","fall_open",0,0,1,18,"mena"
"NextStart Gaming","fall_cup",2,2,2,19,"mena"
