team,fall_reg1,deductions,fall_reg2,fall_reg3,deductions,fall_maj,deductions,win_reg1,deductions,win_reg2,deductions,win_reg3,deductions,win_maj,spr_reg1,deductions,spr_reg2,deductions,spr_reg3,spr_maj
Gaimin Gladiators,301,,301,301,,0,,351,,351,,351,,0,350,,401,,401,160
1620 Kings,250,,250,150,,0,,300,,260,,260,,0,210,,180,,210,0
Meta Power,0,,0,0,,0,,190,,300,,300,,0,401,,300,,350,0
Northern Forces,150,,200,70,,0,,160,,160,,160,,0,210,,210,,210,0
God Speed,0,,0,0,,0,,260,,190,,220,,0,300,,180,,300,0
Vectro Esports,0,,0,0,,0,,190,,220,,190,,0,180,,350,,250,0
AtlasGaming,150,,110,150,,0,,110,,60,,60,,0,130,,130,,130,0
Asphyx's Minions,0,,0,0,,0,,0,,0,,0,,0,250,,250,,180,0
Shoguns,0,,0,0,,0,,0,,110,,110,,0,130,,130,,130,0
Frost Esports,0,,0,0,,0,,0,,0,,0,,0,180,,210,,130,0
Astronic Esports,0,,0,0,,0,,0,,0,,60,,0,130,,130,,180,0
Not Just Associates,110,,40,40,,0,,60,,60,,0,,0,0,,0,,0,0
FULLTIMEASIANS,0,,0,0,,0,,0,,0,,0,,0,0,,80,,130,0
Friendly Fire Esports,0,,0,0,,0,,0,,0,,0,,0,80,,80,,0,0
Dark Rift Esports,0,,0,0,,0,,0,,0,,0,,0,80,,130,"-210
x



-210


Point Deductions (Spring Regional 2)
 Dark Rift Esports lose 210 points due to a mid-split transfer.




x",80,0
Exodus,0,,0,0,,0,,0,,0,,0,,0,0,,80,"-80
x



-80


Point Deductions (Spring Regional 2)
 Exodus lose 80 points due to a mid-split transfer.




x",80,0
LeftOvers,0,,0,0,,0,,0,,0,,0,,0,80,"-80
x



-80


Point Deductions (Spring Regional 1)
 LeftOvers lose 80 points due to a Team disband.




x",80,"-80
x



-80


Point Deductions (Spring Regional 2)
 LeftOvers lose 80 points due to a mid-split transfer.




x",80,0
NHK,0,,0,0,,0,,0,,0,,0,,0,0,,0,,80,0
