"team","eventname","score_change","score","event","ranking","region"
"Gaimin Gladiators","fall_reg1",301,301,1,1,"apacs"
"Gaimin Gladiators","fall_reg2",301,602,2,1,"apacs"
"Gaimin Gladiators","fall_reg3",301,903,3,1,"apacs"
"Gaimin Gladiators","fall_maj",0,903,4,1,"apacs"
"Gaimin Gladiators","win_reg1",351,1254,5,1,"apacs"
"Gaimin Gladiators","win_reg2",351,1605,6,1,"apacs"
"Gaimin Gladiators","win_reg3",351,1956,7,1,"apacs"
"Gaimin Gladiators","win_maj",0,1956,8,1,"apacs"
"Gaimin Gladiators","spr_reg1",350,2306,9,1,"apacs"
"Gaimin Gladiators","spr_reg2",401,2707,10,1,"apacs"
"Gaimin Gladiators","spr_reg3",401,3108,11,1,"apacs"
"Gaimin Gladiators","spr_maj",160,3268,12,1,"apacs"
"1620 Kings","fall_reg1",250,250,1,2,"apacs"
"1620 Kings","fall_reg2",250,500,2,2,"apacs"
"1620 Kings","fall_reg3",150,650,3,2,"apacs"
"1620 Kings","fall_maj",0,650,4,2,"apacs"
"1620 Kings","win_reg1",300,950,5,2,"apacs"
"1620 Kings","win_reg2",260,1210,6,2,"apacs"
"1620 Kings","win_reg3",260,1470,7,2,"apacs"
"1620 Kings","win_maj",0,1470,8,2,"apacs"
"1620 Kings","spr_reg1",210,1680,9,2,"apacs"
"1620 Kings","spr_reg2",180,1860,10,2,"apacs"
"1620 Kings","spr_reg3",210,2070,11,2,"apacs"
"1620 Kings","spr_maj",0,2070,12,2,"apacs"
"Meta Power","fall_reg1",0,0,1,32,"apacs"
"Meta Power","fall_reg2",0,0,2,31,"apacs"
"Meta Power","fall_reg3",0,0,3,32,"apacs"
"Meta Power","fall_maj",0,0,4,32,"apacs"
"Meta Power","win_reg1",190,190,5,11,"apacs"
"Meta Power","win_reg2",300,490,6,7,"apacs"
"Meta Power","win_reg3",300,790,7,5,"apacs"
"Meta Power","win_maj",0,790,8,4,"apacs"
"Meta Power","spr_reg1",401,1191,9,3,"apacs"
"Meta Power","spr_reg2",300,1491,10,3,"apacs"
"Meta Power","spr_reg3",350,1841,11,3,"apacs"
"Meta Power","spr_maj",0,1841,12,3,"apacs"
"Northern Forces","fall_reg1",150,150,1,8,"apacs"
"Northern Forces","fall_reg2",200,350,2,5,"apacs"
"Northern Forces","fall_reg3",70,420,3,7,"apacs"
"Northern Forces","fall_maj",0,420,4,6,"apacs"
"Northern Forces","win_reg1",160,580,5,4,"apacs"
"Northern Forces","win_reg2",160,740,6,4,"apacs"
"Northern Forces","win_reg3",160,900,7,4,"apacs"
"Northern Forces","win_maj",0,900,8,3,"apacs"
"Northern Forces","spr_reg1",210,1110,9,4,"apacs"
"Northern Forces","spr_reg2",210,1320,10,4,"apacs"
"Northern Forces","spr_reg3",210,1530,11,4,"apacs"
"Northern Forces","spr_maj",0,1530,12,4,"apacs"
"God Speed","fall_reg1",0,0,1,29,"apacs"
"God Speed","fall_reg2",0,0,2,28,"apacs"
"God Speed","fall_reg3",0,0,3,29,"apacs"
"God Speed","fall_maj",0,0,4,29,"apacs"
"God Speed","win_reg1",260,260,5,8,"apacs"
"God Speed","win_reg2",190,450,6,8,"apacs"
"God Speed","win_reg3",220,670,7,6,"apacs"
"God Speed","win_maj",0,670,8,5,"apacs"
"God Speed","spr_reg1",300,970,9,5,"apacs"
"God Speed","spr_reg2",180,1150,10,5,"apacs"
"God Speed","spr_reg3",300,1450,11,5,"apacs"
"God Speed","spr_maj",0,1450,12,5,"apacs"
"Vectro Esports","fall_reg1",0,0,1,44,"apacs"
"Vectro Esports","fall_reg2",0,0,2,44,"apacs"
"Vectro Esports","fall_reg3",0,0,3,44,"apacs"
"Vectro Esports","fall_maj",0,0,4,44,"apacs"
"Vectro Esports","win_reg1",190,190,5,12,"apacs"
"Vectro Esports","win_reg2",220,410,6,9,"apacs"
"Vectro Esports","win_reg3",190,600,7,8,"apacs"
"Vectro Esports","win_maj",0,600,8,7,"apacs"
"Vectro Esports","spr_reg1",180,780,9,6,"apacs"
"Vectro Esports","spr_reg2",350,1130,10,6,"apacs"
"Vectro Esports","spr_reg3",250,1380,11,6,"apacs"
"Vectro Esports","spr_maj",0,1380,12,6,"apacs"
"AtlasGaming","fall_reg1",150,150,1,5,"apacs"
"AtlasGaming","fall_reg2",110,260,2,8,"apacs"
"AtlasGaming","fall_reg3",150,410,3,8,"apacs"
