Team Name,Fall Regional 1,Fall Regional 2,Fall Regional 3,Fall Major,Winter Regional 1,Winter Regional 2,Winter Regional 3,Winter Major,Spring Regional 1
Team BDS,250,200,200,601,260,351,110,320,401
Dignitas,200,301,200,300,300,190,260,220,130
Moist Esports,110,70,150,0,351,300,351,600,350
Endpoint CeX,301,110,301,300,220,110,300,220,130
Evil Geniuses,150,110,150,0,110,260,220,320,80
SMPR Esports,150,150,250,400,110,110,110,0,180
Team Vitality,40,250,150,140,190,60,60,0,250
Karmine Corp,200,40,150,0,160,110,160,0,210
Misfits Gaming,150,200,40,0,110,220,60,0,210
00 Nation DNB,110,150,70,0,60,160,190,0,0
Luminosity Gaming,40,150,70,0,110,160,190,0,130
Williams Resolve,150,70,110,0,190,60,110,0,0
Guild Esports,70,0,0,0,0,190,160,0,0
Natus Vincere,70,40,0,0,60,110,60,0,0
The Bricks,0,0,110,0,60,60,110,0,0
Heroic,110,150,40,0,0,0,0,0,0
Team Singularity,0,0,0,0,160,0,0,0,0
Stormtroopers,0,0,0,0,0,60,0,0,-60
FC Barcelona,0,110,110,-220,0,0,0,0,0
Giants Gaming,70,70,70,-210,0,0,0,0,0
Rix.GG,0,0,0,0,60,0,60,-120,0
Solary,0,0,0,0,0,0,0,0,300
Team Liquid,0,0,0,0,0,0,0,0,180
Wolves Esports,0,0,0,0,0,0,0,0,130
BS+ COMPETITION,0,0,0,0,0,0,0,0,80
SK Gaming,0,0,0,0,0,0,0,0,80
WYLDE,0,0,0,0,0,0,0,0,80
