team,fall_reg1,fall_reg2,fall_reg3,fall_maj,win_reg1,win_reg2,win_reg3,win_maj,spr_reg1,spr_reg2,spr_reg3,spr_maj
Team Falcons,301,301,301,300,351,351,351,120,401,401,401,700
Veloce Esports,200,200,250,0,190,260,260,0,350,130,300,0
01 Esports,250,250,150,0,260,190,300,0,250,180,180,0
KINGS Esports,110,200,200,0,160,160,190,0,210,300,210,0
SCYTES,150,150,70,0,300,300,160,0,180,210,130,0
Twisted Minds,150,110,110,0,190,160,110,0,80,130,250,0
ANKAA,200,150,200,0,-550,220,220,0,210,250,210,0
Cola,0,0,0,0,220,0,110,0,300,350,350,0
Onyx Ravens,0,110,150,0,160,110,110,0,130,80,180,0
966,0,0,0,0,110,190,160,0,130,180,130,0
25eSports,0,70,70,0,110,60,110,0,130,130,80,0
Miracle Makers,0,0,0,0,0,0,190,0,180,210,130,0
Dillon Esports,0,40,0,0,60,110,60,0,0,80,0,0
Knights Gaming,0,0,0,0,0,0,0,0,80,80,80,0
Mythical,0,0,0,0,0,0,60,0,80,80,0,0
Nightmare,0,0,0,0,0,60,-60,0,0,130,80,0
YT Spoilers,0,0,0,0,0,0,0,0,80,0,130,0
Triple Esports,0,0,0,0,0,0,0,0,130,0,0,0
Joga Bonito,0,0,0,0,0,0,0,0,0,0,80,0
Cringe,150,150,150,0,60,-510,0,0,0,0,0,0
Invaders,110,-110,0,0,0,0,0,0,0,0,0,0
Msheireb Esports,40,70,70,0,-70,0,0,0,0,0,0,0
Night Crawlers,0,0,0,0,0,0,60,0,-60,0,0,0
OwlArmy,110,40,0,0,-150,0,0,0,0,0,0,0
quadruple,0,70,110,0,110,-290,0,0,0,0,0,0
Rapzers Esports,0,0,0,0,60,-60,0,0,0,0,0,0
Rise Up,0,0,40,0,-40,0,0,0,0,0,0,0
Ruin Your Day,0,0,0,0,60,0,-60,0,0,0,0,0
ruthlessly,70,-70,0,0,0,0,0,0,0,0,0,0
Saudi Hurricane,0,0,150,0,110,-260,0,0,0,0,0,0
Slow Gang,150,110,-260,0,0,0,0,0,0,0,0,0
Sudor Esports,70,0,-70,0,0,0,0,0,0,0,0,0
T2K,0,0,0,0,0,110,0,0,-110,0,0,0
Tornado,40,-40,0,0,0,0,0,0,0,0,0,0
Tuchel,0,0,0,0,0,110,-110,0,0,0,0,0
Uchiha,0,150,110,0,0,0,0,0,0,0,0,0
Wolves,0,0,0,0,0,60,-60,0,0,0,0,0
You're Throwing,70,0,40,0,-40,0,0,0,0,0,0,0
YT Immortals,0,0,0,0,0,60,60,0,0,0,0,0
