"team","eventname","score_change","score","event","ranking","region"
"Renegades","fall_reg1",301,301,1,1,"oce"
"Renegades","fall_reg2",301,602,2,1,"oce"
"Renegades","fall_reg3",150,752,3,2,"oce"
"Renegades","fall_maj",220,972,4,2,"oce"
"Renegades","win_reg1",260,1232,5,1,"oce"
"Renegades","win_reg2",351,1583,6,1,"oce"
"Renegades","win_reg3",300,1883,7,1,"oce"
"Renegades","win_maj",120,2003,8,1,"oce"
"Renegades","spr_reg1",350,2353,9,1,"oce"
"Renegades","spr_reg2",300,2653,10,1,"oce"
"Renegades","spr_reg3",300,2953,11,1,"oce"
"Renegades","spr_maj",0,2953,12,1,"oce"
"Pioneers","fall_reg1",150,150,1,5,"oce"
"Pioneers","fall_reg2",150,300,2,5,"oce"
"Pioneers","fall_reg3",250,550,3,5,"oce"
"Pioneers","fall_maj",0,550,4,5,"oce"
"Pioneers","win_reg1",300,850,5,4,"oce"
"Pioneers","win_reg2",300,1150,6,3,"oce"
"Pioneers","win_reg3",260,1410,7,3,"oce"
"Pioneers","win_maj",220,1630,8,3,"oce"
"Pioneers","spr_reg1",250,1880,9,3,"oce"
"Pioneers","spr_reg2",401,2281,10,3,"oce"
"Pioneers","spr_reg3",401,2682,11,3,"oce"
"Pioneers","spr_maj",260,2942,12,2,"oce"
"PWR","fall_reg1",250,250,1,2,"oce"
"PWR","fall_reg2",250,500,2,2,"oce"
"PWR","fall_reg3",301,801,3,1,"oce"
"PWR","fall_maj",220,1021,4,1,"oce"
"PWR","win_reg1",160,1181,5,2,"oce"
"PWR","win_reg2",260,1441,6,2,"oce"
"PWR","win_reg3",351,1792,7,2,"oce"
"PWR","win_maj",0,1792,8,2,"oce"
"PWR","spr_reg1",401,2193,9,2,"oce"
"PWR","spr_reg2",350,2543,10,2,"oce"
"PWR","spr_reg3",210,2753,11,2,"oce"
"PWR","spr_maj",160,2913,12,3,"oce"
"Kaka's Minions","fall_reg1",200,200,1,4,"oce"
"Kaka's Minions","fall_reg2",200,400,2,4,"oce"
"Kaka's Minions","fall_reg3",200,600,3,3,"oce"
"Kaka's Minions","fall_maj",0,600,4,3,"oce"
"Kaka's Minions","win_reg1",190,790,5,5,"oce"
"Kaka's Minions","win_reg2",190,980,6,5,"oce"
"Kaka's Minions","win_reg3",190,1170,7,5,"oce"
"Kaka's Minions","win_maj",0,1170,8,5,"oce"
"Kaka's Minions","spr_reg1",300,1470,9,5,"oce"
"Kaka's Minions","spr_reg2",210,1680,10,4,"oce"
"Kaka's Minions","spr_reg3",350,2030,11,4,"oce"
"Kaka's Minions","spr_maj",0,2030,12,4,"oce"
"Dire Wolves","fall_reg1",200,200,1,3,"oce"
"Dire Wolves","fall_reg2",200,400,2,3,"oce"
"Dire Wolves","fall_reg3",150,550,3,4,"oce"
"Dire Wolves","fall_maj",0,550,4,4,"oce"
"Dire Wolves","win_reg1",351,901,5,3,"oce"
"Dire Wolves","win_reg2",220,1121,6,4,"oce"
"Dire Wolves","win_reg3",190,1311,7,4,"oce"
"Dire Wolves","win_maj",0,1311,8,4,"oce"
"Dire Wolves","spr_reg1",210,1521,9,4,"oce"
"Dire Wolves","spr_reg2",130,1651,10,5,"oce"
"Dire Wolves","spr_reg3",130,1781,11,5,"oce"
"Dire Wolves","spr_maj",0,1781,12,5,"oce"
"Team Bliss","fall_reg1",110,110,1,10,"oce"
"Team Bliss","fall_reg2",150,260,2,8,"oce"
"Team Bliss","fall_reg3",110,370,3,7,"oce"
"Team Bliss","fall_maj",0,370,4,7,"oce"
"Team Bliss","win_reg1",220,590,5,7,"oce"
"Team Bliss","win_reg2",160,750,6,7,"oce"
"Team Bliss","win_reg3",220,970,7,6,"oce"
"Team Bliss","win_maj",0,970,8,6,"oce"
"Team Bliss","spr_reg1",130,1100,9,7,"oce"
"Team Bliss","spr_reg2",130,1230,10,7,"oce"
"Team Bliss","spr_reg3",80,1310,11,7,"oce"
"Team Bliss","spr_maj",0,1310,12,7,"oce"
"Three One Two's","fall_reg1",150,150,1,7,"oce"
"Three One Two's","fall_reg2",150,300,2,6,"oce"
"Three One Two's","fall_reg3",200,500,3,6,"oce"
"Three One Two's","fall_maj",0,500,4,6,"oce"
"Three One Two's","win_reg1",160,660,5,6,"oce"
"Three One Two's","win_reg2",190,850,6,6,"oce"
"Three One Two's","win_reg3",110,960,7,7,"oce"
"Three One Two's","win_maj",0,960,8,7,"oce"
"Three One Two's","spr_reg1",210,1170,9,6,"oce"
"Three One Two's","spr_reg2",210,1380,10,6,"oce"
"Three One Two's","spr_reg3",250,1630,11,6,"oce"
"Three One Two's","spr_maj",0,1630,12,6,"oce"
"Rancid Rats Reborn","fall_reg1",150,150,1,6,"oce"
"Rancid Rats Reborn","fall_reg2",110,260,2,7,"oce"
"Rancid Rats Reborn","fall_reg3",0,260,3,12,"oce"
"Rancid Rats Reborn","fall_maj",0,260,4,12,"oce"
"Rancid Rats Reborn","win_reg1",110,370,5,9,"oce"
"Rancid Rats Reborn","win_reg2",60,430,6,9,"oce"
"Rancid Rats Reborn","win_reg3",60,490,7,8,"oce"
"Rancid Rats Reborn","win_maj",0,490,8,8,"oce"
"Rancid Rats Reborn","spr_reg1",80,570,9,8,"oce"
"Rancid Rats Reborn","spr_reg2",80,650,10,9,"oce"
"Rancid Rats Reborn","spr_reg3",80,730,11,9,"oce"
"Rancid Rats Reborn","spr_maj",0,730,12,9,"oce"
"The Lunatics","fall_reg1",0,0,1,32,"oce"
"The Lunatics","fall_reg2",0,0,2,33,"oce"
"The Lunatics","fall_reg3",0,0,3,34,"oce"
"The Lunatics","fall_maj",0,0,4,34,"oce"
"The Lunatics","win_reg1",0,0,5,35,"oce"
"The Lunatics","win_reg2",0,0,6,35,"oce"
"The Lunatics","win_reg3",110,110,7,21,"oce"
"The Lunatics","win_maj",0,110,8,19,"oce"
"The Lunatics","spr_reg1",180,290,9,12,"oce"
"The Lunatics","spr_reg2",180,470,10,11,"oce"
"The Lunatics","spr_reg3",210,680,11,10,"oce"
"The Lunatics","spr_maj",0,680,12,10,"oce"
"Senegy Gaming OCE","fall_reg1",0,0,1,29,"oce"
"Senegy Gaming OCE","fall_reg2",0,0,2,30,"oce"
"Senegy Gaming OCE","fall_reg3",40,40,3,21,"oce"
"Senegy Gaming OCE","fall_maj",0,40,4,20,"oce"
"Senegy Gaming OCE","win_reg1",60,100,5,19,"oce"
"Senegy Gaming OCE","win_reg2",110,210,6,14,"oce"
"Senegy Gaming OCE","win_reg3",110,320,7,12,"oce"
"Senegy Gaming OCE","win_maj",0,320,8,12,"oce"
"Senegy Gaming OCE","spr_reg1",130,450,9,10,"oce"
"Senegy Gaming OCE","spr_reg2",130,580,10,10,"oce"
"Senegy Gaming OCE","spr_reg3",80,660,11,11,"oce"
"Senegy Gaming OCE","spr_maj",0,660,12,11,"oce"
"Physicists","fall_reg1",70,70,1,13,"oce"
"Physicists","fall_reg2",40,110,2,14,"oce"
"Physicists","fall_reg3",150,260,3,11,"oce"
"Physicists","fall_maj",0,260,4,11,"oce"
"Physicists","win_reg1",0,260,5,10,"oce"
"Physicists","win_reg2",60,320,6,11,"oce"
"Physicists","win_reg3",60,380,7,11,"oce"
"Physicists","win_maj",0,380,8,11,"oce"
"Physicists","spr_reg1",130,510,9,9,"oce"
"Physicists","spr_reg2",250,760,10,8,"oce"
"Physicists","spr_reg3",180,940,11,8,"oce"
"Physicists","spr_maj",0,940,12,8,"oce"
"The Kibbles","fall_reg1",0,0,1,31,"oce"
"The Kibbles","fall_reg2",0,0,2,32,"oce"
"The Kibbles","fall_reg3",0,0,3,33,"oce"
"The Kibbles","fall_maj",0,0,4,33,"oce"
"The Kibbles","win_reg1",0,0,5,34,"oce"
"The Kibbles","win_reg2",0,0,6,34,"oce"
"The Kibbles","win_reg3",160,160,7,16,"oce"
"The Kibbles","win_maj",-160,0,8,33,"oce"
"The Kibbles","spr_reg1",180,180,9,14,"oce"
"The Kibbles","spr_reg2",80,260,10,14,"oce"
"The Kibbles","spr_reg3",180,440,11,12,"oce"
"The Kibbles","spr_maj",0,440,12,12,"oce"
"Dumb Luck Esports","fall_reg1",0,0,1,20,"oce"
"Dumb Luck Esports","fall_reg2",0,0,2,22,"oce"
"Dumb Luck Esports","fall_reg3",0,0,3,25,"oce"
"Dumb Luck Esports","fall_maj",0,0,4,24,"oce"
"Dumb Luck Esports","win_reg1",0,0,5,25,"oce"
"Dumb Luck Esports","win_reg2",0,0,6,26,"oce"
"Dumb Luck Esports","win_reg3",0,0,7,28,"oce"
"Dumb Luck Esports","win_maj",0,0,8,25,"oce"
"Dumb Luck Esports","spr_reg1",80,80,9,18,"oce"
"Dumb Luck Esports","spr_reg2",130,210,10,15,"oce"
"Dumb Luck Esports","spr_reg3",130,340,11,15,"oce"
"Dumb Luck Esports","spr_maj",0,340,12,15,"oce"
"Schmucks","fall_reg1",70,70,1,14,"oce"
